pass,route_or_section,viewport,final_url,h1,text_chars,h_overflow,axe_serious_critical,axe_moderate_minor,tap_under24,tap_under44,text_under12px,screenshot
admin,/admin#hero-cards,d1440,,Admin Dashboard,1091,False,button-namex2;labelx3,heading-orderx1;landmark-uniquex1;regionx3,,,2,
admin,/admin#themes,d1440,,Admin Dashboard,667,False,color-contrastx1,heading-orderx1;landmark-uniquex1;regionx3,,,2,
admin,/admin#blind-draw,d1440,,Admin Dashboard,819,False,color-contrastx1,empty-table-headerx1;heading-orderx1;landmark-uniquex1;regionx3,,,2,
admin,/admin#league-night-status,m390,,Admin Dashboard|League Night Status,1227,False,color-contrastx1,landmark-uniquex1,3,11,14,screenshots/admin/tab-league-night-status--m390.jpg
admin,/admin#league-night-status,d1440,,Admin Dashboard|League Night Status,1443,False,,landmark-uniquex1;regionx3,,,22,
admin,/admin#power-sandbox,m390,,Admin Dashboard|Power Score Sandbox,2009,False,color-contrastx1,landmark-uniquex1,3,13,1,
player,/,m390,/,717Rec — Lancaster's Premier Cornhole League|717Rec — Lancaster's Premier Cornhole League,1830,False,color-contrastx1,,15,20,15,
player,/my-team,m390,/my-team,My Team,559,False,color-contrastx2,,3,4,1,screenshots/player/my-team--m390.jpg
player,/schedule,m390,/schedule,,306,False,,,3,5,15,
player,/message-board,m390,/message-board,Message Board,312,False,,,3,6,1,
player,/matches/365c010e-b6de-46f2-b40d-f8f692138a64/live,m390,/matches/365c010e-b6de-46f2-b40d-f8f692138a64/live,,401,False,,,3,4,2,
player,/,m430,/,717Rec — Lancaster's Premier Cornhole League|717Rec — Lancaster's Premier Cornhole League,1830,False,color-contrastx1,,15,20,15,
player,/message-board,m430,/message-board,Message Board,312,False,,,3,6,1,
player,/matches/365c010e-b6de-46f2-b40d-f8f692138a64/live,m430,/matches/365c010e-b6de-46f2-b40d-f8f692138a64/live,,401,False,,,3,4,2,
player,/,d1440,/,717Rec — Lancaster's Premier Cornhole League|717Rec — Lancaster's Premier Cornhole League,1933,False,color-contrastx1,,,,6,
player,/message-board,d1440,/message-board,Message Board,386,False,,,,,2,
player,/matches/365c010e-b6de-46f2-b40d-f8f692138a64/live,d1440,/matches/365c010e-b6de-46f2-b40d-f8f692138a64/live,,475,False,,,,,3,
player,/setup-profile,m390,/,717Rec — Lancaster's Premier Cornhole League|717Rec — Lancaster's Premier Cornhole League,1840,False,color-contrastx1,,15,20,15,
player,/my-team,m430,/my-team,My Team,559,False,color-contrastx2,,3,4,1,
player,/schedule,m430,/schedule,,306,False,,,3,5,15,
player,/setup-profile,m430,/,717Rec — Lancaster's Premier Cornhole League|717Rec — Lancaster's Premier Cornhole League,1840,False,color-contrastx1,,15,20,15,
player,/my-team,d1440,/my-team,My Team,633,False,color-contrastx2,,,,2,
player,/schedule,d1440,/schedule,,380,False,,,,,16,
player,/setup-profile,d1440,/,717Rec — Lancaster's Premier Cornhole League|717Rec — Lancaster's Premier Cornhole League,1943,False,color-contrastx1,,,,6,
